TOP.5d5a6c11.0007e1b2	START
TOP.5d5b53b1.000bfe99	user_options->restore	0
TOP.5d5b53b1.000bfe99	user_options->restore_disable	0
TOP.5d5b53b1.000bfe99	user_options->restore_timer	60
TOP.5d5b53b1.000bfe99	user_options->rp_files_cnt	0
TOP.5d5b53b1.000bfe99	user_options->rp_gen	0
TOP.5d5b53b1.000bfe99	user_options->rp_gen_func_max	4
TOP.5d5b53b1.000bfe99	user_options->rp_gen_func_min	1
TOP.5d5b53b1.000bfe99	user_options->rp_gen_seed	0
TOP.5d5b53b1.000bfe99	user_options->runtime	0
TOP.5d5b53b1.000bfe99	user_options->scrypt_tmto	0
TOP.5d5b53b1.000bfe99	user_options->segment_size	33554432
TOP.5d5b53b1.000bfe99	user_options->self_test_disable	0
TOP.5d5b53b1.000bfe99	user_options->slow_candidates	0
TOP.5d5b53b1.000bfe99	user_options->show	0
TOP.5d5b53b1.000bfe99	user_options->speed_only	0
TOP.5d5b53b1.000bfe99	user_options->spin_damp	8
TOP.5d5b53b1.000bfe99	user_options->status	0
TOP.5d5b53b1.000bfe99	user_options->status_timer	10
TOP.5d5b53b1.000bfe99	user_options->stdout_flag	0
TOP.5d5b53b1.000bfe99	user_options->usage	0
TOP.5d5b53b1.000bfe99	user_options->username	0
TOP.5d5b53b1.000bfe99	user_options->veracrypt_pim	0
TOP.5d5b53b1.000bfe99	user_options->version	0
TOP.5d5b53b1.000bfe99	user_options->workload_profile	2
TOP.5d5b53b1.000bfe99	user_options->brain_client	0
TOP.5d5b53b1.000bfe99	user_options->brain_client_features	2
TOP.5d5b53b1.000bfe99	user_options->brain_server	0
TOP.5d5b53b1.000bfe99	user_options->brain_port	6863
TOP.5d5b53b1.000bfe99	user_options->brain_session	0
TOP.5d5b53b1.000bfe99	hashes->hashfile	hash.txt
TOP.5d5b53b1.000bfe99	hashes->hashlist_mode	4
TOP.5d5b53b1.000bfe99	hashes->hashlist_format	0
TOP.5d5b53b1.000bfe99	hashes->hashes_cnt	0
TOP.5d5b53b1.000bfe99	hashes->digests_cnt	1
TOP.5d5b53b1.000bfe99	hashes->digests_done	0
TOP.5d5b53b1.000bfe99	hashes->salts_cnt	1
TOP.5d5b53b1.000bfe99	hashes->salts_done	0
TOP.5d5b53b1.000bfe99	SUB.5d5b53b2.00019496	START
TOP.5d5b53b1.000bfe99	SUB.5d5b53b2.00019496	straight_ctx->dict	E:\JCHackedTools\Dicts\superdic.txt
TOP.5d5b53b1.000bfe99	SUB.5d5b53b2.00019496	runtime_start	1566266290
TOP.5d5b53b1.000bfe99	SUB.5d5b53b2.00019496	runtime_stop	1566266291
TOP.5d5b53b1.000bfe99	SUB.5d5b53b2.00019496	status-after-work	5
TOP.5d5b53b1.000bfe99	SUB.5d5b53b2.00019496	STOP
TOP.5d5b53b1.000bfe99	proc_start	1566266289
TOP.5d5b53b1.000bfe99	proc_stop	1566266292
TOP.5d5b53b1.000bfe99	STOP
TOP.5d5b54fe.00013f11	START
TOP.5d5b54fe.00013f11	user_options->separator	:
TOP.5d5b54fe.00013f11	user_options->encoding_from	utf-8
TOP.5d5b54fe.00013f11	user_options->encoding_to	utf-8
TOP.5d5b54fe.00013f11	user_options->rule_buf_l	:
TOP.5d5b54fe.00013f11	user_options->rule_buf_r	:
TOP.5d5b54fe.00013f11	user_options->session	hashcat
TOP.5d5b54fe.00013f11	user_options->limit	0
TOP.5d5b54fe.00013f11	user_options->skip	0
TOP.5d5b54fe.00013f11	user_options->attack_mode	0
TOP.5d5b54fe.00013f11	user_options->benchmark	0
TOP.5d5b54fe.00013f11	user_options->benchmark_all	0
TOP.5d5b54fe.00013f11	user_options->bitmap_max	18
TOP.5d5b54fe.00013f11	user_options->bitmap_min	16
TOP.5d5b54fe.00013f11	user_options->debug_mode	0
TOP.5d5b54fe.00013f11	user_options->example_hashes	0
TOP.5d5b54fe.00013f11	user_options->force	0
TOP.5d5b54fe.00013f11	user_options->hwmon_disable	0
TOP.5d5b54fe.00013f11	user_options->hwmon_temp_abort	90
TOP.5d5b54fe.00013f11	user_options->hash_mode	13100
TOP.5d5b54fe.00013f11	user_options->hex_charset	0
TOP.5d5b54fe.00013f11	user_options->hex_salt	0
TOP.5d5b54fe.00013f11	user_options->hex_wordlist	0
TOP.5d5b54fe.00013f11	user_options->increment	0
TOP.5d5b54fe.00013f11	user_options->increment_max	256
TOP.5d5b54fe.00013f11	user_options->increment_min	1
TOP.5d5b54fe.00013f11	user_options->keep_guessing	0
TOP.5d5b54fe.00013f11	user_options->kernel_accel	0
TOP.5d5b54fe.00013f11	user_options->kernel_loops	0
TOP.5d5b54fe.00013f11	user_options->kernel_threads	0
TOP.5d5b54fe.00013f11	user_options->keyspace	0
TOP.5d5b54fe.00013f11	user_options->left	0
TOP.5d5b54fe.00013f11	user_options->logfile_disable	0
TOP.5d5b54fe.00013f11	user_options->loopback	0
TOP.5d5b54fe.00013f11	user_options->machine_readable	0
TOP.5d5b54fe.00013f11	user_options->markov_classic	0
TOP.5d5b54fe.00013f11	user_options->markov_disable	0
TOP.5d5b54fe.00013f11	user_options->markov_threshold	256
TOP.5d5b54fe.00013f11	user_options->opencl_info	0
TOP.5d5b54fe.00013f11	user_options->opencl_vector_width	0
TOP.5d5b54fe.00013f11	user_options->optimized_kernel_enable	0
TOP.5d5b54fe.00013f11	user_options->outfile_autohex	1
TOP.5d5b54fe.00013f11	user_options->outfile_check_timer	5
TOP.5d5b54fe.00013f11	user_options->outfile_format	3
TOP.5d5b54fe.00013f11	user_options->wordlist_autohex_disable	0
TOP.5d5b54fe.00013f11	user_options->potfile_disable	0
TOP.5d5b54fe.00013f11	user_options->progress_only	0
TOP.5d5b54fe.00013f11	user_options->quiet	0
TOP.5d5b54fe.00013f11	user_options->remove	0
TOP.5d5b54fe.00013f11	user_options->remove_timer	60
TOP.5d5b54fe.00013f11	user_options->restore	0
TOP.5d5b54fe.00013f11	user_options->restore_disable	0
TOP.5d5b54fe.00013f11	user_options->restore_timer	60
TOP.5d5b54fe.00013f11	user_options->rp_files_cnt	0
TOP.5d5b54fe.00013f11	user_options->rp_gen	0
TOP.5d5b54fe.00013f11	user_options->rp_gen_func_max	4
TOP.5d5b54fe.00013f11	user_options->rp_gen_func_min	1
TOP.5d5b54fe.00013f11	user_options->rp_gen_seed	0
TOP.5d5b54fe.00013f11	user_options->runtime	0
TOP.5d5b54fe.00013f11	user_options->scrypt_tmto	0
TOP.5d5b54fe.00013f11	user_options->segment_size	33554432
TOP.5d5b54fe.00013f11	user_options->self_test_disable	0
TOP.5d5b54fe.00013f11	user_options->slow_candidates	0
TOP.5d5b54fe.00013f11	user_options->show	0
TOP.5d5b54fe.00013f11	user_options->speed_only	0
TOP.5d5b54fe.00013f11	user_options->spin_damp	8
TOP.5d5b54fe.00013f11	user_options->status	0
TOP.5d5b54fe.00013f11	user_options->status_timer	10
TOP.5d5b54fe.00013f11	user_options->stdout_flag	0
TOP.5d5b54fe.00013f11	user_options->usage	0
TOP.5d5b54fe.00013f11	user_options->username	0
TOP.5d5b54fe.00013f11	user_options->veracrypt_pim	0
TOP.5d5b54fe.00013f11	user_options->version	0
TOP.5d5b54fe.00013f11	user_options->workload_profile	2
TOP.5d5b54fe.00013f11	user_options->brain_client	0
TOP.5d5b54fe.00013f11	user_options->brain_client_features	2
TOP.5d5b54fe.00013f11	user_options->brain_server	0
TOP.5d5b54fe.00013f11	user_options->brain_port	6863
TOP.5d5b54fe.00013f11	user_options->brain_session	0
TOP.5d5b54fe.00013f11	hashes->hashfile	def.yu.hash.txt
TOP.5d5b54fe.00013f11	hashes->hashlist_mode	4
TOP.5d5b54fe.00013f11	hashes->hashlist_format	0
TOP.5d5b54fe.00013f11	hashes->hashes_cnt	0
TOP.5d5b54fe.00013f11	hashes->digests_cnt	1
TOP.5d5b54fe.00013f11	hashes->digests_done	0
TOP.5d5b54fe.00013f11	hashes->salts_cnt	1
TOP.5d5b54fe.00013f11	hashes->salts_done	0
TOP.5d5b54fe.00013f11	SUB.5d5b54fe.00063ccb	START
TOP.5d5b54fe.00013f11	SUB.5d5b54fe.00063ccb	straight_ctx->dict	E:\JCHackedTools\Dicts\password.txt
TOP.5d5b54fe.00013f11	SUB.5d5b54fe.00063ccb	runtime_start	1566266622
TOP.5d5b54fe.00013f11	SUB.5d5b54fe.00063ccb	runtime_stop	1566266622
TOP.5d5b54fe.00013f11	SUB.5d5b54fe.00063ccb	status-after-work	5
TOP.5d5b54fe.00013f11	SUB.5d5b54fe.00063ccb	STOP
TOP.5d5b54fe.00013f11	proc_start	1566266622
TOP.5d5b54fe.00013f11	proc_stop	1566266623
TOP.5d5b54fe.00013f11	STOP
TOP.5d5b5508.0007cdb6	START
TOP.5d5b5508.0007cdb6	user_options->separator	:
TOP.5d5b5508.0007cdb6	user_options->encoding_from	utf-8
TOP.5d5b5508.0007cdb6	user_options->encoding_to	utf-8
TOP.5d5b5508.0007cdb6	user_options->rule_buf_l	:
TOP.5d5b5508.0007cdb6	user_options->rule_buf_r	:
TOP.5d5b5508.0007cdb6	user_options->session	hashcat
TOP.5d5b5508.0007cdb6	user_options->limit	0
TOP.5d5b5508.0007cdb6	user_options->skip	0
TOP.5d5b5508.0007cdb6	user_options->attack_mode	0
TOP.5d5b5508.0007cdb6	user_options->benchmark	0
TOP.5d5b5508.0007cdb6	user_options->benchmark_all	0
TOP.5d5b5508.0007cdb6	user_options->bitmap_max	18
TOP.5d5b5508.0007cdb6	user_options->bitmap_min	16
TOP.5d5b5508.0007cdb6	user_options->debug_mode	0
TOP.5d5b5508.0007cdb6	user_options->example_hashes	0
TOP.5d5b5508.0007cdb6	user_options->force	0
TOP.5d5b5508.0007cdb6	user_options->hwmon_disable	0
TOP.5d5b5508.0007cdb6	user_options->hwmon_temp_abort	90
TOP.5d5b5508.0007cdb6	user_options->hash_mode	13100
TOP.5d5b5508.0007cdb6	user_options->hex_charset	0
TOP.5d5b5508.0007cdb6	user_options->hex_salt	0
TOP.5d5b5508.0007cdb6	user_options->hex_wordlist	0
TOP.5d5b5508.0007cdb6	user_options->increment	0
TOP.5d5b5508.0007cdb6	user_options->increment_max	256
TOP.5d5b5508.0007cdb6	user_options->increment_min	1
TOP.5d5b5508.0007cdb6	user_options->keep_guessing	0
TOP.5d5b5508.0007cdb6	user_options->kernel_accel	0
TOP.5d5b5508.0007cdb6	user_options->kernel_loops	0
TOP.5d5b5508.0007cdb6	user_options->kernel_threads	0
TOP.5d5b5508.0007cdb6	user_options->keyspace	0
TOP.5d5b5508.0007cdb6	user_options->left	0
TOP.5d5b5508.0007cdb6	user_options->logfile_disable	0
TOP.5d5b5508.0007cdb6	user_options->loopback	0
TOP.5d5b5508.0007cdb6	user_options->machine_readable	0
TOP.5d5b5508.0007cdb6	user_options->markov_classic	0
TOP.5d5b5508.0007cdb6	user_options->markov_disable	0
TOP.5d5b5508.0007cdb6	user_options->markov_threshold	256
TOP.5d5b5508.0007cdb6	user_options->opencl_info	0
TOP.5d5b5508.0007cdb6	user_options->opencl_vector_width	0
TOP.5d5b5508.0007cdb6	user_options->optimized_kernel_enable	0
TOP.5d5b5508.0007cdb6	user_options->outfile_autohex	1
TOP.5d5b5508.0007cdb6	user_options->outfile_check_timer	5
TOP.5d5b5508.0007cdb6	user_options->outfile_format	3
TOP.5d5b5508.0007cdb6	user_options->wordlist_autohex_disable	0
TOP.5d5b5508.0007cdb6	user_options->potfile_disable	0
TOP.5d5b5508.0007cdb6	user_options->progress_only	0
TOP.5d5b5508.0007cdb6	user_options->quiet	0
TOP.5d5b5508.0007cdb6	user_options->remove	0
TOP.5d5b5508.0007cdb6	user_options->remove_timer	60
TOP.5d5b5508.0007cdb6	user_options->restore	0
TOP.5d5b5508.0007cdb6	user_options->restore_disable	0
TOP.5d5b5508.0007cdb6	user_options->restore_timer	60
TOP.5d5b5508.0007cdb6	user_options->rp_files_cnt	0
TOP.5d5b5508.0007cdb6	user_options->rp_gen	0
TOP.5d5b5508.0007cdb6	user_options->rp_gen_func_max	4
TOP.5d5b5508.0007cdb6	user_options->rp_gen_func_min	1
TOP.5d5b5508.0007cdb6	user_options->rp_gen_seed	0
TOP.5d5b5508.0007cdb6	user_options->runtime	0
TOP.5d5b5508.0007cdb6	user_options->scrypt_tmto	0
TOP.5d5b5508.0007cdb6	user_options->segment_size	33554432
TOP.5d5b5508.0007cdb6	user_options->self_test_disable	0
TOP.5d5b5508.0007cdb6	user_options->slow_candidates	0
TOP.5d5b5508.0007cdb6	user_options->show	0
TOP.5d5b5508.0007cdb6	user_options->speed_only	0
TOP.5d5b5508.0007cdb6	user_options->spin_damp	8
TOP.5d5b5508.0007cdb6	user_options->status	0
TOP.5d5b5508.0007cdb6	user_options->status_timer	10
TOP.5d5b5508.0007cdb6	user_options->stdout_flag	0
TOP.5d5b5508.0007cdb6	user_options->usage	0
TOP.5d5b5508.0007cdb6	user_options->username	0
TOP.5d5b5508.0007cdb6	user_options->veracrypt_pim	0
TOP.5d5b5508.0007cdb6	user_options->version	0
TOP.5d5b5508.0007cdb6	user_options->workload_profile	2
TOP.5d5b5508.0007cdb6	user_options->brain_client	0
TOP.5d5b5508.0007cdb6	user_options->brain_client_features	2
TOP.5d5b5508.0007cdb6	user_options->brain_server	0
TOP.5d5b5508.0007cdb6	user_options->brain_port	6863
TOP.5d5b5508.0007cdb6	user_options->brain_session	0
TOP.5d5b5508.0007cdb6	hashes->hashfile	def.yu.hash.txt
TOP.5d5b5508.0007cdb6	hashes->hashlist_mode	4
TOP.5d5b5508.0007cdb6	hashes->hashlist_format	0
TOP.5d5b5508.0007cdb6	hashes->hashes_cnt	0
TOP.5d5b5508.0007cdb6	hashes->digests_cnt	1
TOP.5d5b5508.0007cdb6	hashes->digests_done	0
TOP.5d5b5508.0007cdb6	hashes->salts_cnt	1
TOP.5d5b5508.0007cdb6	hashes->salts_done	0
TOP.5d5b5508.0007cdb6	SUB.5d5b5508.000c68bf	START
TOP.5d5b5508.0007cdb6	SUB.5d5b5508.000c68bf	straight_ctx->dict	E:\JCHackedTools\Dicts\MiniPwds.txt
TOP.5d5b5508.0007cdb6	SUB.5d5b5508.000c68bf	runtime_start	1566266632
TOP.5d5b5508.0007cdb6	SUB.5d5b5508.000c68bf	runtime_stop	1566266632
TOP.5d5b5508.0007cdb6	SUB.5d5b5508.000c68bf	status-after-work	5
TOP.5d5b5508.0007cdb6	SUB.5d5b5508.000c68bf	STOP
TOP.5d5b5508.0007cdb6	proc_start	1566266632
TOP.5d5b5508.0007cdb6	proc_stop	1566266633
TOP.5d5b5508.0007cdb6	STOP
TOP.5d5b550f.000f2508	START
TOP.5d5b550f.000f2508	user_options->separator	:
TOP.5d5b550f.000f2508	user_options->encoding_from	utf-8
TOP.5d5b550f.000f2508	user_options->encoding_to	utf-8
TOP.5d5b550f.000f2508	user_options->rule_buf_l	:
TOP.5d5b550f.000f2508	user_options->rule_buf_r	:
TOP.5d5b550f.000f2508	user_options->session	hashcat
TOP.5d5b550f.000f2508	user_options->limit	0
TOP.5d5b550f.000f2508	user_options->skip	0
TOP.5d5b550f.000f2508	user_options->attack_mode	0
TOP.5d5b550f.000f2508	user_options->benchmark	0
TOP.5d5b550f.000f2508	user_options->benchmark_all	0
TOP.5d5b550f.000f2508	user_options->bitmap_max	18
TOP.5d5b550f.000f2508	user_options->bitmap_min	16
TOP.5d5b550f.000f2508	user_options->debug_mode	0
TOP.5d5b550f.000f2508	user_options->example_hashes	0
TOP.5d5b550f.000f2508	user_options->force	0
TOP.5d5b550f.000f2508	user_options->hwmon_disable	0
TOP.5d5b550f.000f2508	user_options->hwmon_temp_abort	90
TOP.5d5b550f.000f2508	user_options->hash_mode	13100
TOP.5d5b550f.000f2508	user_options->hex_charset	0
TOP.5d5b550f.000f2508	user_options->hex_salt	0
TOP.5d5b550f.000f2508	user_options->hex_wordlist	0
TOP.5d5b550f.000f2508	user_options->increment	0
TOP.5d5b550f.000f2508	user_options->increment_max	256
TOP.5d5b550f.000f2508	user_options->increment_min	1
TOP.5d5b550f.000f2508	user_options->keep_guessing	0
TOP.5d5b550f.000f2508	user_options->kernel_accel	0
TOP.5d5b550f.000f2508	user_options->kernel_loops	0
TOP.5d5b550f.000f2508	user_options->kernel_threads	0
TOP.5d5b550f.000f2508	user_options->keyspace	0
TOP.5d5b550f.000f2508	user_options->left	0
TOP.5d5b550f.000f2508	user_options->logfile_disable	0
TOP.5d5b550f.000f2508	user_options->loopback	0
TOP.5d5b550f.000f2508	user_options->machine_readable	0
TOP.5d5b550f.000f2508	user_options->markov_classic	0
TOP.5d5b550f.000f2508	user_options->markov_disable	0
TOP.5d5b550f.000f2508	user_options->markov_threshold	256
TOP.5d5b550f.000f2508	user_options->opencl_info	0
TOP.5d5b550f.000f2508	user_options->opencl_vector_width	0
TOP.5d5b550f.000f2508	user_options->optimized_kernel_enable	0
TOP.5d5b550f.000f2508	user_options->outfile_autohex	1
TOP.5d5b550f.000f2508	user_options->outfile_check_timer	5
TOP.5d5b550f.000f2508	user_options->outfile_format	3
TOP.5d5b550f.000f2508	user_options->wordlist_autohex_disable	0
TOP.5d5b550f.000f2508	user_options->potfile_disable	0
TOP.5d5b550f.000f2508	user_options->progress_only	0
TOP.5d5b550f.000f2508	user_options->quiet	0
TOP.5d5b550f.000f2508	user_options->remove	0
TOP.5d5b550f.000f2508	user_options->remove_timer	60
TOP.5d5b550f.000f2508	user_options->restore	0
TOP.5d5b550f.000f2508	user_options->restore_disable	0
TOP.5d5b550f.000f2508	user_options->restore_timer	60
TOP.5d5b550f.000f2508	user_options->rp_files_cnt	0
TOP.5d5b550f.000f2508	user_options->rp_gen	0
TOP.5d5b550f.000f2508	user_options->rp_gen_func_max	4
TOP.5d5b550f.000f2508	user_options->rp_gen_func_min	1
TOP.5d5b550f.000f2508	user_options->rp_gen_seed	0
TOP.5d5b550f.000f2508	user_options->runtime	0
TOP.5d5b550f.000f2508	user_options->scrypt_tmto	0
TOP.5d5b550f.000f2508	user_options->segment_size	33554432
TOP.5d5b550f.000f2508	user_options->self_test_disable	0
TOP.5d5b550f.000f2508	user_options->slow_candidates	0
TOP.5d5b550f.000f2508	user_options->show	0
TOP.5d5b550f.000f2508	user_options->speed_only	0
TOP.5d5b550f.000f2508	user_options->spin_damp	8
TOP.5d5b550f.000f2508	user_options->status	0
TOP.5d5b550f.000f2508	user_options->status_timer	10
TOP.5d5b550f.000f2508	user_options->stdout_flag	0
TOP.5d5b550f.000f2508	user_options->usage	0
TOP.5d5b550f.000f2508	user_options->username	0
TOP.5d5b550f.000f2508	user_options->veracrypt_pim	0
TOP.5d5b550f.000f2508	user_options->version	0
TOP.5d5b550f.000f2508	user_options->workload_profile	2
TOP.5d5b550f.000f2508	user_options->brain_client	0
TOP.5d5b550f.000f2508	user_options->brain_client_features	2
TOP.5d5b550f.000f2508	user_options->brain_server	0
TOP.5d5b550f.000f2508	user_options->brain_port	6863
TOP.5d5b550f.000f2508	user_options->brain_session	0
TOP.5d5b550f.000f2508	hashes->hashfile	def.yu.hash.txt
TOP.5d5b550f.000f2508	hashes->hashlist_mode	4
TOP.5d5b550f.000f2508	hashes->hashlist_format	0
TOP.5d5b550f.000f2508	hashes->hashes_cnt	0
TOP.5d5b550f.000f2508	hashes->digests_cnt	1
TOP.5d5b550f.000f2508	hashes->digests_done	0
TOP.5d5b550f.000f2508	hashes->salts_cnt	1
TOP.5d5b550f.000f2508	hashes->salts_done	0
TOP.5d5b550f.000f2508	SUB.5d5b5510.000416a0	START
TOP.5d5b550f.000f2508	SUB.5d5b5510.000416a0	straight_ctx->dict	E:\JCHackedTools\Dicts\NormalPwds.txt
TOP.5d5b550f.000f2508	SUB.5d5b5510.000416a0	runtime_start	1566266640
TOP.5d5b550f.000f2508	SUB.5d5b5510.000416a0	runtime_stop	1566266640
TOP.5d5b550f.000f2508	SUB.5d5b5510.000416a0	status-after-work	5
TOP.5d5b550f.000f2508	SUB.5d5b5510.000416a0	STOP
TOP.5d5b550f.000f2508	proc_start	1566266639
TOP.5d5b550f.000f2508	proc_stop	1566266641
TOP.5d5b550f.000f2508	STOP
TOP.5d5b5518.000bacfc	START
TOP.5d5b5518.000bacfc	user_options->separator	:
TOP.5d5b5518.000bacfc	user_options->encoding_from	utf-8
TOP.5d5b5518.000bacfc	user_options->encoding_to	utf-8
TOP.5d5b5518.000bacfc	user_options->rule_buf_l	:
TOP.5d5b5518.000bacfc	user_options->rule_buf_r	:
TOP.5d5b5518.000bacfc	user_options->session	hashcat
TOP.5d5b5518.000bacfc	user_options->limit	0
TOP.5d5b5518.000bacfc	user_options->skip	0
TOP.5d5b5518.000bacfc	user_options->attack_mode	0
TOP.5d5b5518.000bacfc	user_options->benchmark	0
TOP.5d5b5518.000bacfc	user_options->benchmark_all	0
TOP.5d5b5518.000bacfc	user_options->bitmap_max	18
TOP.5d5b5518.000bacfc	user_options->bitmap_min	16
TOP.5d5b5518.000bacfc	user_options->debug_mode	0
TOP.5d5b5518.000bacfc	user_options->example_hashes	0
TOP.5d5b5518.000bacfc	user_options->force	0
TOP.5d5b5518.000bacfc	user_options->hwmon_disable	0
TOP.5d5b5518.000bacfc	user_options->hwmon_temp_abort	90
TOP.5d5b5518.000bacfc	user_options->hash_mode	13100
TOP.5d5b5518.000bacfc	user_options->hex_charset	0
TOP.5d5b5518.000bacfc	user_options->hex_salt	0
TOP.5d5b5518.000bacfc	user_options->hex_wordlist	0
TOP.5d5b5518.000bacfc	user_options->increment	0
TOP.5d5b5518.000bacfc	user_options->increment_max	256
TOP.5d5b5518.000bacfc	user_options->increment_min	1
TOP.5d5b5518.000bacfc	user_options->keep_guessing	0
TOP.5d5b5518.000bacfc	user_options->kernel_accel	0
TOP.5d5b5518.000bacfc	user_options->kernel_loops	0
TOP.5d5b5518.000bacfc	user_options->kernel_threads	0
TOP.5d5b5518.000bacfc	user_options->keyspace	0
TOP.5d5b5518.000bacfc	user_options->left	0
TOP.5d5b5518.000bacfc	user_options->logfile_disable	0
TOP.5d5b5518.000bacfc	user_options->loopback	0
TOP.5d5b5518.000bacfc	user_options->machine_readable	0
TOP.5d5b5518.000bacfc	user_options->markov_classic	0
TOP.5d5b5518.000bacfc	user_options->markov_disable	0
TOP.5d5b5518.000bacfc	user_options->markov_threshold	256
TOP.5d5b5518.000bacfc	user_options->opencl_info	0
TOP.5d5b5518.000bacfc	user_options->opencl_vector_width	0
TOP.5d5b5518.000bacfc	user_options->optimized_kernel_enable	0
TOP.5d5b5518.000bacfc	user_options->outfile_autohex	1
TOP.5d5b5518.000bacfc	user_options->outfile_check_timer	5
TOP.5d5b5518.000bacfc	user_options->outfile_format	3
TOP.5d5b5518.000bacfc	user_options->wordlist_autohex_disable	0
TOP.5d5b5518.000bacfc	user_options->potfile_disable	0
TOP.5d5b5518.000bacfc	user_options->progress_only	0
TOP.5d5b5518.000bacfc	user_options->quiet	0
TOP.5d5b5518.000bacfc	user_options->remove	0
TOP.5d5b5518.000bacfc	user_options->remove_timer	60
TOP.5d5b5518.000bacfc	user_options->restore	0
TOP.5d5b5518.000bacfc	user_options->restore_disable	0
TOP.5d5b5518.000bacfc	user_options->restore_timer	60
TOP.5d5b5518.000bacfc	user_options->rp_files_cnt	0
TOP.5d5b5518.000bacfc	user_options->rp_gen	0
TOP.5d5b5518.000bacfc	user_options->rp_gen_func_max	4
TOP.5d5b5518.000bacfc	user_options->rp_gen_func_min	1
TOP.5d5b5518.000bacfc	user_options->rp_gen_seed	0
TOP.5d5b5518.000bacfc	user_options->runtime	0
TOP.5d5b5518.000bacfc	user_options->scrypt_tmto	0
TOP.5d5b5518.000bacfc	user_options->segment_size	33554432
TOP.5d5b5518.000bacfc	user_options->self_test_disable	0
TOP.5d5b5518.000bacfc	user_options->slow_candidates	0
TOP.5d5b5518.000bacfc	user_options->show	0
TOP.5d5b5518.000bacfc	user_options->speed_only	0
TOP.5d5b5518.000bacfc	user_options->spin_damp	8
TOP.5d5b5518.000bacfc	user_options->status	0
TOP.5d5b5518.000bacfc	user_options->status_timer	10
TOP.5d5b5518.000bacfc	user_options->stdout_flag	0
TOP.5d5b5518.000bacfc	user_options->usage	0
TOP.5d5b5518.000bacfc	user_options->username	0
TOP.5d5b5518.000bacfc	user_options->veracrypt_pim	0
TOP.5d5b5518.000bacfc	user_options->version	0
TOP.5d5b5518.000bacfc	user_options->workload_profile	2
TOP.5d5b5518.000bacfc	user_options->brain_client	0
TOP.5d5b5518.000bacfc	user_options->brain_client_features	2
TOP.5d5b5518.000bacfc	user_options->brain_server	0
TOP.5d5b5518.000bacfc	user_options->brain_port	6863
TOP.5d5b5518.000bacfc	user_options->brain_session	0
TOP.5d5b5518.000bacfc	hashes->hashfile	def.yu.hash.txt
TOP.5d5b5518.000bacfc	hashes->hashlist_mode	4
TOP.5d5b5518.000bacfc	hashes->hashlist_format	0
TOP.5d5b5518.000bacfc	hashes->hashes_cnt	0
TOP.5d5b5518.000bacfc	hashes->digests_cnt	1
TOP.5d5b5518.000bacfc	hashes->digests_done	0
TOP.5d5b5518.000bacfc	hashes->salts_cnt	1
TOP.5d5b5518.000bacfc	hashes->salts_done	0
TOP.5d5b5518.000bacfc	SUB.5d5b5519.0001494d	START
TOP.5d5b5518.000bacfc	SUB.5d5b5519.0001494d	straight_ctx->dict	E:\JCHackedTools\Dicts\passwd.txt
TOP.5d5b5518.000bacfc	SUB.5d5b5519.0001494d	runtime_start	1566266649
TOP.5d5b5518.000bacfc	SUB.5d5b5519.0001494d	runtime_stop	1566266649
TOP.5d5b5518.000bacfc	SUB.5d5b5519.0001494d	status-after-work	5
TOP.5d5b5518.000bacfc	SUB.5d5b5519.0001494d	STOP
TOP.5d5b5518.000bacfc	proc_start	1566266648
TOP.5d5b5518.000bacfc	proc_stop	1566266650
TOP.5d5b5518.000bacfc	STOP
TOP.5d5b5521.000284bc	START
TOP.5d5b5521.000284bc	user_options->separator	:
TOP.5d5b5521.000284bc	user_options->encoding_from	utf-8
TOP.5d5b5521.000284bc	user_options->encoding_to	utf-8
TOP.5d5b5521.000284bc	user_options->rule_buf_l	:
TOP.5d5b5521.000284bc	user_options->rule_buf_r	:
TOP.5d5b5521.000284bc	user_options->session	hashcat
TOP.5d5b5521.000284bc	user_options->limit	0
TOP.5d5b5521.000284bc	user_options->skip	0
TOP.5d5b5521.000284bc	user_options->attack_mode	0
TOP.5d5b5521.000284bc	user_options->benchmark	0
TOP.5d5b5521.000284bc	user_options->benchmark_all	0
TOP.5d5b5521.000284bc	user_options->bitmap_max	18
TOP.5d5b5521.000284bc	user_options->bitmap_min	16
TOP.5d5b5521.000284bc	user_options->debug_mode	0
TOP.5d5b5521.000284bc	user_options->example_hashes	0
TOP.5d5b5521.000284bc	user_options->force	0
TOP.5d5b5521.000284bc	user_options->hwmon_disable	0
TOP.5d5b5521.000284bc	user_options->hwmon_temp_abort	90
TOP.5d5b5521.000284bc	user_options->hash_mode	13100
TOP.5d5b5521.000284bc	user_options->hex_charset	0
TOP.5d5b5521.000284bc	user_options->hex_salt	0
TOP.5d5b5521.000284bc	user_options->hex_wordlist	0
TOP.5d5b5521.000284bc	user_options->increment	0
TOP.5d5b5521.000284bc	user_options->increment_max	256
TOP.5d5b5521.000284bc	user_options->increment_min	1
TOP.5d5b5521.000284bc	user_options->keep_guessing	0
TOP.5d5b5521.000284bc	user_options->kernel_accel	0
TOP.5d5b5521.000284bc	user_options->kernel_loops	0
TOP.5d5b5521.000284bc	user_options->kernel_threads	0
TOP.5d5b5521.000284bc	user_options->keyspace	0
TOP.5d5b5521.000284bc	user_options->left	0
TOP.5d5b5521.000284bc	user_options->logfile_disable	0
TOP.5d5b5521.000284bc	user_options->loopback	0
